"X","full_name","resale_price","registered_year","engine_capacity","insurance","transmission_type","kms_driven","owner_type","fuel_type","max_power","seats","mileage","body_type","city"
1,"2018 Tata Hexa XTA","₹ 10 Lakh","2018","2179 cc","Third Party insurance","Automatic","70,000 Kms","First Owner","Diesel","153.86bhp",7,"17.6 kmpl","MUV","Agra"
11,"2018 Hyundai Xcent 1.2 VTVT SX","₹ 4.75 Lakh","2018","1197 cc","Third Party insurance","Manual","60,000 Kms","Second Owner","Petrol","81.86bhp",5,"20.14 kmpl","Sedan","Agra"
12,"2020 Maruti Ciaz Sigma BSIV","₹ 6.86 Lakh","2020","1462 cc","Third Party insurance","Manual","50,000 Kms","Third Owner","Petrol","103.25bhp",5,"21.56 kmpl","Sedan","Agra"
15,"2019 Maruti Alto K10 VXI AGS Optional","₹ 3.95 Lakh","2019","998 cc","Third Party insurance","Automatic","20,000 Kms","First Owner","Petrol","67.1bhp",5,"23.95 kmpl","Hatchback","Agra"
20,"2020 Maruti Ciaz Alpha BSVI","₹ 7.85 Lakh","2020","1462 cc","Third Party insurance","Manual","30,000 Kms","Second Owner","Petrol","103.25bhp",5,"20.65 kmpl","Sedan","Agra"
27,"2018 Hyundai Xcent 1.2 VTVT SX","₹ 4.65 Lakh","2018","1197 cc","Third Party insurance","Manual","60,000 Kms","Second Owner","Petrol","81.86bhp",5,"20.14 kmpl","Sedan","Agra"
37,"2018 Tata Tiago 1.2 Revotron XE","₹ 3.16 Lakh","2018","1199 cc","Third Party insurance","Manual","1,00,000 Kms","First Owner","Petrol","84bhp",5,"23.84 kmpl","Hatchback","Agra"
39,"2019 Maruti Ertiga VDI","₹ 9 Lakh","2019","1248 cc","Third Party insurance","Manual","1,20,000 Kms","First Owner","Diesel","88.50bhp",7,"25.47 kmpl","MUV","Agra"
43,"2019 Maruti Alto 800 LXI","₹ 2.80 Lakh","2019","796 cc","Third Party insurance","Manual","80,000 Kms","First Owner","Petrol","47.33bhp",5,"22.05 kmpl","Hatchback","Agra"
55,"2019 Maruti Vitara Brezza VDi","₹ 7.40 Lakh","2019","1248 cc","Third Party insurance","Manual","80,000 Kms","Second Owner","Diesel","88.5bhp",5,"24.3 kmpl","SUV","Agra"
73,"2020 Kia Seltos HTX Diesel","₹ 13.49 Lakh","2020","1493 cc","Third Party insurance","Manual","70,000 Kms","First Owner","Diesel","113.43bhp",5,"20.8 kmpl","SUV","Agra"
74,"2019 Maruti Swift Dzire VDI","₹ 6.50 Lakh","2019","1248 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Diesel","74.02bhp",5,"28.4 kmpl","Sedan","Agra"
75,"2019 Maruti Wagon R LXI","₹ 4.75 Lakh","2019","998 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Petrol","67.05bhp",5,"21.79 kmpl","Hatchback","Agra"
77,"2019 Maruti Swift Dzire VDI","₹ 6.50 Lakh","2019","1248 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Diesel","74.02bhp",5,"28.4 kmpl","Sedan","Agra"
81,"2020 Ford Figo Titanium Diesel","₹ 5.50 Lakh","2020","1499 cc","Third Party insurance","Manual","60,000 Kms","Second Owner","Diesel","98.96bhp",5,"24.4 kmpl","Hatchback","Agra"
100,"2019 Maruti Swift Dzire VXI 1.2","₹ 6.50 Lakh","2019","1197 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","81.80bhp",5,"21.21 kmpl","Sedan","Agra"
103,"2019 Maruti Baleno 1.2 Zeta","₹ 5.70 Lakh","2019","1197 cc","Third Party insurance","Manual","80,000 Kms","Second Owner","Petrol","83.1bhp",5,"21.4 kmpl","Hatchback","Agra"
106,"2019 Maruti Vitara Brezza VDi","₹ 7.80 Lakh","2019","1248 cc","Third Party insurance","Manual","1,00,000 Kms","First Owner","Diesel","88.5bhp",5,"24.3 kmpl","SUV","Agra"
107,"2018 Renault KWID STD","₹ 2.40 Lakh","2018","799 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Petrol","53.3bhp",5,"25.17 kmpl","Hatchback","Agra"
113,"2020 Mahindra XUV500 W7","₹ 12.75 Lakh","2020","2179 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Diesel","152.87bhp",7,"15.1 kmpl","SUV","Agra"
115,"2020 Mahindra XUV500 W7","₹ 12.75 Lakh","2020","2179 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Diesel","152.87bhp",7,"15.1 kmpl","SUV","Agra"
119,"2019 Maruti Wagon R ZXI 1.2","₹ 4.95 Lakh","2019","1197 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Petrol","81.80bhp",5,"20.52 kmpl","Hatchback","Agra"
121,"2019 Kia Seltos GTX DCT","₹ 13.75 Lakh","2019","1353 cc","Third Party insurance","Automatic","20,000 Kms","First Owner","Petrol","138bhp",5,"16.2 kmpl","SUV","Agra"
123,"2020 MG Hector Sharp DCT","₹ 13 Lakh","2020","1451 cc","Third Party insurance","Automatic","40,000 Kms","Second Owner","Petrol","141bhp",5,"13.96 kmpl","SUV","Agra"
124,"2019 Tata Nexon 1.2 Revotron XT","₹ 6 Lakh","2019","1198 cc","Third Party insurance","Manual","70,000 Kms","First Owner","Petrol","108.5bhp",5,"17 kmpl","SUV","Agra"
127,"2020 Toyota Yaris G Optional","₹ 10.99 Lakh","2020","1496 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","105.94bhp",5,"17.1 kmpl","Sedan","Agra"
129,"2019 Renault Triber RXL BSIV","₹ 4.35 Lakh","2019","999 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Petrol","72bhp",7,"20 kmpl","MUV","Agra"
135,"2018 Maruti Wagon R LXI CNG","₹ 3.50 Lakh","2018","998 cc","Third Party insurance","Manual","1,50,000 Kms","First Owner","CNG","58.16bhp",5,"26.6 kmpl","Hatchback","Agra"
142,"2018 Renault KWID Climber 1.0 AMT","₹ 3.20 Lakh","2018","999 cc","Third Party insurance","Automatic","20,000 Kms","First Owner","Petrol","67bhp",5,"24.04 kmpl","Hatchback","Agra"
147,"2019 Maruti Swift Dzire VXI 1.2","₹ 6.50 Lakh","2019","1197 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","81.80bhp",5,"21.21 kmpl","Sedan","Agra"
148,"2020 Toyota Glanza G","₹ 6.30 Lakh","2020","1197 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Petrol","81.80bhp",5,"21.01 kmpl","Hatchback","Agra"
150,"2018 Maruti Eeco 7 Seater Standard BSIV","₹ 3.50 Lakh","2018","1196 cc","Third Party insurance","Manual","1,00,000 Kms","Second Owner","Petrol","73bhp",7,"15.37 kmpl","Minivans","Agra"
159,"2018 Hyundai Creta 1.6 SX Automatic Diesel","₹ 11.50 Lakh","2018","1582 cc","Third Party insurance","Automatic","70,000 Kms","Second Owner","Diesel","126.2bhp",5,"17.6 kmpl","SUV","Agra"
160,"2020 Maruti Ciaz Delta BSVI","₹ 7.25 Lakh","2020","1462 cc","Third Party insurance","Manual","60,000 Kms","Second Owner","Petrol","103.25bhp",5,"20.65 kmpl","Sedan","Agra"
164,"2020 Hyundai i20 Sportz 1.2","₹ 6.90 Lakh","2020","1197 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","81.83bhp",5,"18.6 kmpl","Hatchback","Agra"
166,"2020 Maruti Celerio Tour 2018-2021 H2 CNG","₹ 3.42 Lakh","2020","998 cc","Third Party insurance","Manual","1,50,000 Kms","First Owner","CNG","",5,"","Hatchback","Agra"
179,"2019 Hyundai i20 Petrol Magna","₹ 5.50 Lakh","2019","1197 cc","Third Party insurance","Manual","40,000 Kms","Second Owner","Petrol","81.86bhp",5,"18.6 kmpl","Hatchback","Agra"
182,"2018 Hyundai Verna CRDi 1.6 SX Option","₹ 9 Lakh","2018","1582 cc","Third Party insurance","Manual","90,000 Kms","First Owner","Diesel","126.2bhp",5,"22 kmpl","Sedan","Agra"
187,"2020 Toyota Urban cruiser Premium AT","₹ 8.80 Lakh","2020","1462 cc","Third Party insurance","Automatic","50,000 Kms","First Owner","Petrol","103.26bhp",5,"18.76 kmpl","SUV","Agra"
196,"2018 Hyundai i20 1.2 Asta","₹ 5 Lakh","2018","1197 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Petrol","81.83bhp",5,"18.6 kmpl","Hatchback","Agra"
237,"2020 Maruti Swift AMT ZXI Plus","₹ 7.85 Lakh","2020","1197 cc","Third Party insurance","Automatic","30,000 Kms","First Owner","Petrol","81.80bhp",5,"21.21 kmpl","Hatchback","Lucknow"
266,"2020 Maruti Wagon R VXI","₹ 4.80 Lakh","2020","998 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Petrol","67.05bhp",5,"21.79 kmpl","Hatchback","Lucknow"
277,"2020 Hyundai i20 Sportz Plus","₹ 6.50 Lakh","2020","1197 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Petrol","81.86bhp",5,"18.6 kmpl","Hatchback","Lucknow"
292,"2020 Hyundai Creta 1.6 EX Diesel","₹ 11.30 Lakh","2020","1582 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Diesel","126.2bhp",5,"20.5 kmpl","SUV","Lucknow"
296,"2018 Maruti Alto K10 LXI","₹ 2.80 Lakh","2018","998 cc","Third Party insurance","Manual","50,000 Kms","Second Owner","Petrol","67.05bhp",5,"23.95 kmpl","Hatchback","Lucknow"
308,"2018 Hyundai Creta 1.6 SX Diesel","₹ 10.50 Lakh","2018","1582 cc","Third Party insurance","Manual","1,00,000 Kms","First Owner","Diesel","126.2bhp",5,"20.5 kmpl","SUV","Lucknow"
335,"2018 Maruti Swift AMT ZDI","₹ 7 Lakh","2018","1248 cc","Third Party insurance","Automatic","60,000 Kms","First Owner","Diesel","74bhp",5,"28.4 kmpl","Hatchback","Lucknow"
363,"2020 Toyota Fortuner 2.8 2WD AT","₹ 31.50 Lakh","2020","2755 cc","Third Party insurance","Automatic","60,000 Kms","First Owner","Diesel","174.5bhp",7,"12.9 kmpl","SUV","Lucknow"
368,"2018 Maruti Baleno 1.2 Alpha","₹ 5 Lakh","2018","1197 cc","Third Party insurance","Manual","50,000 Kms","Second Owner","Petrol","83.1bhp",5,"21.4 kmpl","Hatchback","Lucknow"
369,"2019 Maruti Wagon R LXI CNG Optional","₹ 4.50 Lakh","2019","998 cc","Third Party insurance","Manual","80,000 Kms","First Owner","CNG","58.16bhp",5,"26.6 kmpl","Hatchback","Lucknow"
383,"2020 Toyota Fortuner 2.8 2WD AT","₹ 32.50 Lakh","2020","2755 cc","Third Party insurance","Automatic","60,000 Kms","First Owner","Diesel","174.5bhp",7,"12.9 kmpl","SUV","Lucknow"
385,"2018 Renault KWID RXT Optional","₹ 3.50 Lakh","2018","799 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","53.3bhp",5,"25.17 kmpl","Hatchback","Lucknow"
387,"2019 Hyundai Creta 1.4 E Plus","₹ 9 Lakh","2019","1396 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Diesel","88.7bhp",5,"22.1 kmpl","SUV","Lucknow"
400,"2019 Maruti S-Presso VXI 2019-2022","₹ 3.73 Lakh","2019","998 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","65.71bhp",5,"21.7 kmpl","Hatchback","Lucknow"
405,"2019 Mahindra Marazzo M2 BSIV","₹ 7 Lakh","2019","1497 cc","Third Party insurance","Manual","70,000 Kms","First Owner","Diesel","121bhp",7,"17.3 kmpl","MUV","Lucknow"
420,"2018 Maruti SX4 S Cross Zeta DDiS 200 SH","₹ 8 Lakh","2018","1248 cc","Third Party insurance","Manual","90,000 Kms","First Owner","Diesel","88.5bhp",5,"25.1 kmpl","SUV","Lucknow"
440,"2018 Maruti Wagon R VXI BS IV","₹ 3.75 Lakh","2018","998 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Petrol","67.04bhp",5,"20.51 kmpl","Hatchback","Lucknow"
444,"2020 Maruti Baleno Zeta","₹ 6.50 Lakh","2020","1197 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","81.80bhp",5,"21.01 kmpl","Hatchback","Lucknow"
484,"2020 Maruti Ciaz Delta BSVI","₹ 7.70 Lakh","2020","1462 cc","Third Party insurance","Manual","70,000 Kms","First Owner","Petrol","103.25bhp",5,"20.65 kmpl","Sedan","Lucknow"
485,"2019 Ford Endeavour Titanium Plus 4X2","₹ 26 Lakh","2019","2198 cc","Third Party insurance","Automatic","1,10,000 Kms","First Owner","Diesel","158.2bhp",7,"14.2 kmpl","SUV","Lucknow"
504,"2018 Honda City i-DTEC SV","₹ 7.50 Lakh","2018","1498 cc","Third Party insurance","Manual","70,000 Kms","First Owner","Diesel","97.9bhp",5,"25.6 kmpl","Sedan","Lucknow"
518,"2020 Maruti SX4 S Cross Delta DDiS 200 SH","₹ 8 Lakh","2020","1248 cc","Third Party insurance","Manual","80,000 Kms","First Owner","Diesel","88.5bhp",5,"25.1 kmpl","SUV","Lucknow"
519,"2018 Ford Endeavour 3.2 Titanium AT 4X4","₹ 21.80 Lakh","2018","3198 cc","Third Party insurance","Automatic","1,50,000 Kms","First Owner","Diesel","197bhp",7,"10.91 kmpl","SUV","Lucknow"
523,"2020 Maruti SX4 S Cross Delta DDiS 200 SH","₹ 7.80 Lakh","2020","1248 cc","Third Party insurance","Manual","80,000 Kms","First Owner","Diesel","88.5bhp",5,"25.1 kmpl","SUV","Lucknow"
524,"2020 Maruti SX4 S Cross Delta DDiS 200 SH","₹ 7.80 Lakh","2020","1248 cc","Third Party insurance","Manual","80,000 Kms","First Owner","Diesel","88.5bhp",5,"25.1 kmpl","SUV","Lucknow"
538,"2019 Hyundai Santro Sportz BSIV","₹ 4.50 Lakh","2019","1086 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","68bhp",5,"20.3 kmpl","Hatchback","Lucknow"
541,"2020 Maruti Swift Dzire VXI BSVI","₹ 7 Lakh","2020","1197 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Petrol","88.50bhp",5,"22.41 kmpl","Sedan","Lucknow"
556,"2018 Maruti Wagon R LXI CNG","₹ 3.80 Lakh","2018","998 cc","Third Party insurance","Manual","1,20,000 Kms","First Owner","CNG","58.16bhp",5,"26.6 kmpl","Hatchback","Lucknow"
558,"2019 Maruti Baleno Zeta","₹ 6 Lakh","2019","1197 cc","Third Party insurance","Manual","70,000 Kms","First Owner","Petrol","81.80bhp",5,"21.01 kmpl","Hatchback","Lucknow"
563,"2019 Maruti Swift Dzire LXI 1.2","₹ 5 Lakh","2019","1197 cc","Third Party insurance","Manual","70,000 Kms","Second Owner","Petrol","81.80bhp",5,"21.21 kmpl","Sedan","Lucknow"
580,"2018 Honda WR-V i-VTEC VX","₹ 7.25 Lakh","2018","1199 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Petrol","88.7bhp",5,"17.5 kmpl","SUV","Lucknow"
598,"2018 Mahindra Thar CRDe","₹ 8 Lakh","2018","2498 cc","Third Party insurance","Manual","50,000 Kms","Second Owner","Diesel","105bhp",6,"16.55 kmpl","SUV","Lucknow"
603,"2019 Maruti S-Presso VXI 2019-2022","₹ 4.20 Lakh","2019","998 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","65.71bhp",5,"21.7 kmpl","Hatchback","Lucknow"
618,"2018 Tata Tiago 1.05 Revotorq XM","₹ 4.30 Lakh","2018","1047 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Diesel","69bhp",5,"27.28 kmpl","Hatchback","Lucknow"
619,"2019 MG Hector Sharp Diesel MT BSIV","₹ 13.25 Lakh","2019","1956 cc","Third Party insurance","Manual","70,000 Kms","Second Owner","Diesel","167.68bhp",5,"17.41 kmpl","SUV","Lucknow"
636,"2020 Maruti Swift Dzire Tour 1.2 S STD CNG","₹ 5.90 Lakh","2020","1197 cc","Third Party insurance","Manual","80,000 Kms","Second Owner","CNG","70.40Bhp",5,"26.55 kmpl","Sedan","Lucknow"
637,"2018 Maruti Wagon R VXI BS IV","₹ 3.80 Lakh","2018","998 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Petrol","67.04bhp",5,"20.51 kmpl","Hatchback","Lucknow"
642,"2019 Mahindra Supro VX 5 Str","₹ 3.50 Lakh","2019","909 cc","Third Party insurance","Manual","30,000 Kms","Second Owner","Diesel","45bhp",5,"23.5 kmpl","Minivans","Lucknow"
654,"2019 MG Hector Sharp Diesel MT BSIV","₹ 15.25 Lakh","2019","1956 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Diesel","167.68bhp",5,"17.41 kmpl","SUV","Lucknow"
655,"2018 Tata Tiago 1.2 Revotron XZ Plus","₹ 4.50 Lakh","2018","1199 cc","Third Party insurance","Manual","40,000 Kms","Second Owner","Petrol","84bhp",5,"23.84 kmpl","Hatchback","Lucknow"
657,"2020 Tata Tigor XZ Plus","₹ 6 Lakh","2020","1199 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Petrol","83.81bhp",5,"20.3 kmpl","Sedan","Lucknow"
664,"2019 Mahindra Marazzo M2 BSIV","₹ 8.10 Lakh","2019","1497 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Diesel","121bhp",7,"17.3 kmpl","MUV","Lucknow"
665,"2018 Maruti Swift Dzire AMT VXI BS IV","₹ 5.50 Lakh","2018","1197 cc","Third Party insurance","Automatic","50,000 Kms","First Owner","Petrol","81.80bhp",5,"22 kmpl","Sedan","Lucknow"
667,"2018 Maruti Ertiga VDI","₹ 7.30 Lakh","2018","1248 cc","Third Party insurance","Manual","1,20,000 Kms","First Owner","Diesel","88.50bhp",7,"25.47 kmpl","MUV","Lucknow"
676,"2019 Hyundai i20 Sportz Plus BSIV","₹ 6.50 Lakh","2019","1197 cc","Third Party insurance","Manual","30,000 Kms","Second Owner","Petrol","81.86bhp",5,"18.6 kmpl","Hatchback","Lucknow"
679,"2019 Maruti Baleno 1.2 Delta","₹ 6.50 Lakh","2019","1197 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Petrol","83.1bhp",5,"21.4 kmpl","Hatchback","Lucknow"
802,"2020 Maruti Wagon R VXI 1.2","₹ 6 Lakh","2020","1197 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Petrol","81.80bhp",5,"20.52 kmpl","Hatchback","Lucknow"
820,"2018 Maruti Eeco CNG 5 Seater AC BSIV","₹ 3.80 Lakh","2018","1196 cc","Third Party insurance","Manual","70,000 Kms","First Owner","CNG","61.7bhp",5,"21.94 km/kg","Minivans","Chandigarh"
825,"2018 Maruti Eeco CNG 5 Seater AC BSIV","₹ 3.60 Lakh","2018","1196 cc","Third Party insurance","Manual","70,000 Kms","First Owner","CNG","61.7bhp",5,"21.94 km/kg","Minivans","Chandigarh"
855,"2020 Hyundai i20 Magna Plus","₹ 6.90 Lakh","2020","1197 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Petrol","81.86bhp",5,"18.6 kmpl","Hatchback","Chandigarh"
901,"2019 Hyundai i20 Sportz Plus BSIV","₹ 6 Lakh","2019","1197 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","81.86bhp",5,"18.6 kmpl","Hatchback","Chandigarh"
903,"2020 Maruti Vitara Brezza ZXI Plus Dual Tone","₹ 8 Lakh","2020","1462 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","103.26bhp",5,"17.03 kmpl","SUV","Chandigarh"
904,"2019 Hyundai i20 Diesel Magna","₹ 6.50 Lakh","2019","1396 cc","Third Party insurance","Manual","70,000 Kms","Second Owner","Diesel","88.76bhp",5,"22.54 kmpl","Hatchback","Chandigarh"
917,"2019 Kia Seltos HTK Plus AT D","₹ 16.50 Lakh","2019","1493 cc","Third Party insurance","Automatic","80,000 Kms","First Owner","Diesel","113.42bhp",5,"17.8 kmpl","SUV","Chandigarh"
919,"2018 Nissan Sunny XE D","₹ 6 Lakh","2018","1461 cc","Third Party insurance","Manual","70,000 Kms","First Owner","Diesel","84.8bhp",5,"22.71 kmpl","Sedan","Chandigarh"
948,"2019 Ford Figo 1.2P Titanium MT","₹ 4.50 Lakh","2019","1196 cc","Third Party insurance","Manual","70,000 Kms","First Owner","Petrol","86.8bhp",5,"18.16 kmpl","Hatchback","Chandigarh"
966,"2018 Hyundai Grand i10 1.2 Kappa Sportz Option","₹ 3.20 Lakh","2018","1197 cc","Third Party insurance","Manual","1,00,000 Kms","Second Owner","Petrol","81.86bhp",5,"18.9 kmpl","Hatchback","Chandigarh"
968,"2018 Hyundai i20 1.4 Asta Option","₹ 6.75 Lakh","2018","1396 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Diesel","88.73bhp",5,"22.54 kmpl","Hatchback","Chandigarh"
970,"2018 Hyundai Elite i20 2018 Diesel Asta Option","₹ 6.75 Lakh","2018","1396 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Diesel","88.73bhp",5,"22.54 kmpl","Hatchback","Chandigarh"
983,"2018 Maruti Wagon R LXI CNG","₹ 3.17 Lakh","2018","998 cc","Third Party insurance","Manual","1,20,000 Kms","Second Owner","CNG","58.16bhp",5,"26.6 kmpl","Hatchback","Chandigarh"
986,"2020 Hyundai Aura SX","₹ 6.50 Lakh","2020","1197 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Petrol","81.86bhp",5,"20.5 kmpl","Sedan","Chandigarh"
1015,"2018 Audi Q5 35TDI","₹ 35 Lakh","2018","1968 cc","Third Party insurance","Automatic","80,000 Kms","First Owner","Diesel","188bhp",5,"17.01 kmpl","SUV","Chandigarh"
1018,"2018 Hyundai Xcent Prime T Plus CNG","₹ 4 Lakh","2018","1197 cc","Third Party insurance","Manual","50,000 Kms","First Owner","CNG","65.39bhp",5,"","Sedan","Chandigarh"
1033,"2020 Tata Tigor XM BSVI","₹ 5.20 Lakh","2020","1199 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Petrol","84.82bhp",5,"19.28 kmpl","Sedan","Chandigarh"
1064,"2019 Hyundai Santro Magna BSIV","₹ 4.50 Lakh","2019","1086 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Petrol","68bhp",5,"20.3 kmpl","Hatchback","Chandigarh"
1076,"2018 Audi Q3 35 TDI Quattro Premium Plus","₹ 19.75 Lakh","2018","1968 cc","Third Party insurance","Automatic","90,000 Kms","Second Owner","Diesel","181bhp",5,"15.17 kmpl","SUV","Chandigarh"
1101,"2019 Hyundai Verna VTVT 1.6 AT SX Option","₹ 9.50 Lakh","2019","1591 cc","Third Party insurance","Automatic","1,10,000 Kms","Second Owner","Petrol","121.3bhp",5,"17 kmpl","Sedan","Chandigarh"
1114,"2018 Maruti SX4 S Cross Zeta DDiS 200 SH","₹ 6.80 Lakh","2018","1248 cc","Third Party insurance","Manual","1,10,000 Kms","First Owner","Diesel","88.5bhp",5,"25.1 kmpl","SUV","Chandigarh"
1120,"2020 Tata Altroz XZ BSVI","₹ 7 Lakh","2020","1199 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Petrol","86.83bhp",5,"19.33 kmpl","Hatchback","Chandigarh"
1132,"2018 Toyota Fortuner 2.8 2WD AT BSIV","₹ 32.50 Lakh","2018","2755 cc","Third Party insurance","Automatic","60,000 Kms","First Owner","Diesel","174.5bhp",7,"12.9 kmpl","SUV","Chandigarh"
1150,"2018 Nissan Micra Active XL Petrol","₹ 5.50 Lakh","2018","1198 cc","Third Party insurance","Manual","40,000 Kms","Second Owner","Petrol","67.04bhp",5,"19.49 kmpl","Hatchback","Chandigarh"
1154,"2018 Maruti Alto K10 LXI CNG Optional","₹ 3 Lakh","2018","998 cc","Third Party insurance","Manual","1,10,000 Kms","Third Owner","CNG","58.2bhp",4,"32.26 kmpl","Hatchback","Chandigarh"
1157,"2020 Hyundai Creta SX Opt Turbo BSVI","₹ 15 Lakh","2020","1353 cc","Third Party insurance","Automatic","50,000 Kms","First Owner","Petrol","138.12bhp",5,"","SUV","Chandigarh"
1170,"2018 Jeep Compass 2.0 Limited 4X4","₹ 15 Lakh","2018","1956 cc","Third Party insurance","Manual","80,000 Kms","First Owner","Diesel","170bhp",5,"16.3 kmpl","SUV","Chandigarh"
1173,"2020 Maruti Swift Dzire VXI BSVI","₹ 7 Lakh","2020","1197 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","88.50bhp",5,"22.41 kmpl","Sedan","Chandigarh"
1175,"2019 Maruti Alto K10 VXI","₹ 2.95 Lakh","2019","998 cc","Third Party insurance","Manual","30,000 Kms","Second Owner","Petrol","67.05bhp",5,"23.95 kmpl","Hatchback","Chandigarh"
1178,"2020 Hyundai Venue SX Turbo BSIV","₹ 9 Lakh","2020","998 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Petrol","118.35bhp",5,"18.27 kmpl","SUV","Chandigarh"
1182,"2019 Hyundai i20 Petrol Magna","₹ 5.20 Lakh","2019","1197 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Petrol","81.86bhp",5,"18.6 kmpl","Hatchback","Chandigarh"
1183,"2018 Datsun RediGO T Option","₹ 1.70 Lakh","2018","799 cc","Third Party insurance","Manual","1,20,000 Kms","First Owner","Petrol","53.64bhp",5,"22.7 kmpl","Hatchback","Chandigarh"
1184,"2019 Hyundai Creta 1.4 E Plus CRDi","₹ 8.70 Lakh","2019","1396 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Diesel","88.7bhp",5,"22.1 kmpl","SUV","Chandigarh"
1547,"2020 Hyundai Creta SX Opt IVT BSVI","₹ 16.50 Lakh","2020","1497 cc","Third Party insurance","Automatic","40,000 Kms","First Owner","Petrol","113.18bhp",5,"","SUV","Chandigarh"
1550,"2018 Maruti Vitara Brezza ZDi","₹ 7.50 Lakh","2018","1248 cc","Third Party insurance","Manual","1,50,000 Kms","First Owner","Diesel","88.5bhp",5,"24.3 kmpl","SUV","Chandigarh"
1561,"2019 Mahindra Scorpio S11 4WD BSIV","₹ 16 Lakh","2019","2179 cc","Third Party insurance","Manual","1,00,000 Kms","Second Owner","Diesel","140bhp",7,"16.36 kmpl","SUV","Jaipur"
1580,"2020 Jeep Compass 2.0 Limited Plus","₹ 19 Lakh","2020","1956 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Diesel","170.63bhp",5,"17.1 kmpl","SUV","Jaipur"
1641,"2019 Maruti Ciaz Delta BSIV","₹ 6.90 Lakh","2019","1462 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","103.25bhp",5,"21.56 kmpl","Sedan","Jaipur"
1643,"2019 Maruti Alto 800 LXI","₹ 3.20 Lakh","2019","796 cc","Third Party insurance","Manual","40,000 Kms","Second Owner","Petrol","47.33bhp",5,"22.05 kmpl","Hatchback","Jaipur"
1646,"2020 Honda Amaze VX Petrol","₹ 7.25 Lakh","2020","1199 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Petrol","88.76bhp",5,"18.6 kmpl","Sedan","Jaipur"
1660,"2020 Honda City V MT","₹ 10.60 Lakh","2020","1498 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Petrol","119.35bhp",5,"18.6 kmpl","Sedan","Jaipur"
1662,"2019 Maruti Ciaz Delta BSIV","₹ 7.25 Lakh","2019","1462 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","103.25bhp",5,"21.56 kmpl","Sedan","Jaipur"
1664,"2020 Hyundai Grand i10 Sportz","₹ 5.45 Lakh","2020","1197 cc","Third Party insurance","Manual","80,000 Kms","First Owner","Petrol","81.86bhp",5,"18.9 kmpl","Hatchback","Jaipur"
1665,"2019 Maruti Ciaz Delta BSIV","₹ 7.50 Lakh","2019","1462 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","103.25bhp",5,"21.56 kmpl","Sedan","Jaipur"
