"X","full_name","resale_price","registered_year","engine_capacity","insurance","transmission_type","kms_driven","owner_type","fuel_type","max_power","seats","mileage","body_type","city"
14337,"2018 Mahindra XUV500 W7 AT BSIV","₹ 12 Lakh","2018","2179 cc","Third Party insurance","Automatic","30,000 Kms","Second Owner","Diesel","152.87bhp",7,"15.1 kmpl","SUV","Delhi"
14338,"2018 Mahindra XUV500 W7 AT BSIV","₹ 12 Lakh","2018","2179 cc","Third Party insurance","Automatic","30,000 Kms","Second Owner","Diesel","152.87bhp",7,"15.1 kmpl","SUV","Delhi"
14363,"2018 Toyota Innova Crysta 2.8 GX AT BSIV","₹ 15 Lakh","2018","2755 cc","Third Party insurance","Automatic","1,00,000 Kms","First Owner","Diesel","171.5bhp",7,"11.36 kmpl","MUV","Delhi"
14384,"2019 Maruti Ciaz Delta Diesel","₹ 6.60 Lakh","2019","1248 cc","Third Party insurance","Automatic","60,000 Kms","First Owner","Diesel","88.50bhp",5,"28.09 kmpl","Sedan","Delhi"
14972,"2020 Hyundai i20 Sportz Plus","₹ 6.50 Lakh","2020","1197 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Petrol","81.86bhp",5,"18.6 kmpl","Hatchback","Delhi"
14975,"2019 Hyundai Verna VTVT 1.6 AT SX Option","₹ 13 Lakh","2019","1591 cc","Third Party insurance","Automatic","30,000 Kms","Second Owner","Petrol","121.3bhp",5,"17 kmpl","Sedan","Delhi"
14988,"2019 Hyundai i20 Petrol Asta","₹ 6.70 Lakh","2019","1197 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Petrol","81.86bhp",5,"18.6 kmpl","Hatchback","Delhi"
14990,"2020 Hyundai Aura SX","₹ 5.86 Lakh","2020","1197 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Petrol","81.86bhp",5,"20.5 kmpl","Sedan","Delhi"
14997,"2019 Hyundai Xcent 1.2 CRDi S","₹ 5.90 Lakh","2019","1186 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Diesel","73.97bhp",5,"25.4 kmpl","Sedan","Delhi"
14998,"2020 Maruti Swift Dzire ZXI Plus","₹ 6.70 Lakh","2020","1197 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Petrol","81.80bhp",5,"21.21 kmpl","Sedan","Delhi"
15002,"2018 Renault KWID 1.0 RXT Optional","₹ 2.80 Lakh","2018","999 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Petrol","67bhp",5,"23.01 kmpl","Hatchback","Delhi"
15003,"2018 Maruti Swift Dzire VDI","₹ 5.70 Lakh","2018","1248 cc","Third Party insurance","Manual","80,000 Kms","First Owner","Diesel","74.02bhp",5,"28.4 kmpl","Sedan","Delhi"
15008,"2018 Maruti Wagon R VXI BS IV","₹ 3.65 Lakh","2018","998 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Petrol","67.04bhp",5,"20.51 kmpl","Hatchback","Delhi"
15012,"2018 Maruti SX4 S Cross Delta DDiS 200 SH","₹ 7.50 Lakh","2018","1248 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Diesel","88.5bhp",5,"25.1 kmpl","SUV","Delhi"
15014,"2018 Jeep Compass 2.0 Limited","₹ 13 Lakh","2018","1956 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Diesel","170bhp",5,"17.1 kmpl","SUV","Delhi"
15022,"2020 Tata Tigor XZ","₹ 5.80 Lakh","2020","1199 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Petrol","83.81bhp",5,"20.3 kmpl","Sedan","Delhi"
15024,"2020 Mercedes-Benz C-Class Progressive C 200","₹ 39 Lakh","2020","1950 cc","Third Party insurance","Automatic","40,000 Kms","First Owner","Petrol","201.15bhp",5,"11.9 kmpl","Sedan","Delhi"
